Date,Rank_IC
2021-02-05,-0.1196969310831089
2021-02-08,-0.16624569595659608
2021-02-09,-0.03250082911335906
2021-02-10,-0.08383080780339047
2021-02-11,-0.0005102561512436098
2021-02-12,-0.1095121476172668
2021-02-15,-0.3945099244892362
2021-02-16,-0.20216348712271823
2021-02-17,-0.2985508740926362
2021-02-18,-0.14822562994660304
2021-02-19,-0.11036277375455485
2021-02-22,-0.09535957553040518
2021-02-23,-0.40802061290350455
2021-02-24,-0.49455343264645124
2021-02-25,-0.534989924265106
2021-02-26,-0.44809551882652937
2021-03-01,-0.49808663772166645
2021-03-02,-0.34893096290881076
2021-03-03,-0.232886849707153
2021-03-04,-0.07215021978584645
2021-03-05,-0.21323060500752294
2021-03-08,-0.23981427220276566
2021-03-09,-0.35959586072219796
2021-03-10,-0.1236319109675109
2021-03-12,-0.16645405103956432
2021-03-15,-0.09836734693877551
2021-03-16,0.13822486455261537
2021-03-17,0.18271340398292227
2021-03-18,0.06592004900229186
2021-03-19,0.03403148040598194
2021-03-22,0.05372723105110784
2021-03-23,0.022961526805962446
2021-03-24,0.17400622748158007
2021-03-25,0.25915248691869086
2021-03-26,0.2243086040866909
2021-03-30,0.015459972467697695
2021-03-31,0.09873204610901097
2021-04-01,0.3007729790003951
2021-04-05,0.19194367209490862
2021-04-06,0.17954539662466334
2021-04-07,0.1515344779696647
2021-04-08,0.1030717425512092
2021-04-09,0.041225541481309455
2021-04-12,-0.27611369410640174
2021-04-13,-0.12889070380413586
2021-04-15,-0.07010740638438298
2021-04-16,-0.1157712129676768
2021-04-19,-0.3044110527578085
2021-04-20,-0.3244125835457838
2021-04-22,-0.2077657026021948
2021-04-23,-0.0011225635327359418
2021-04-26,0.02673742232516516
2021-04-27,0.051593479454893454
2021-04-28,0.10255363660573269
2021-04-29,-0.22026072100843183
2021-04-30,-0.20663792450408824
2021-05-03,-0.31758342853402277
2021-05-04,-0.15822235848953978
2021-05-05,-0.2094037815149256
2021-05-06,-0.2474552923073649
2021-05-07,-0.2266384347276938
2021-05-10,-0.28961400191976555
2021-05-11,-0.34585161931291875
2021-05-12,-0.04188989239597297
2021-05-14,-0.18486108684906807
2021-05-17,-0.1062407523802492
2021-05-18,-0.14051378866278
2021-05-19,0.0075514056937929334
2021-05-20,-0.16383488974843996
2021-05-21,-0.1983264454849536
2021-05-24,-0.2308222149275297
2021-05-25,-0.1727393381567792
2021-05-26,-0.04878671252114553
2021-05-27,-0.04673588613475181
2021-05-28,-0.20849066339813901
2021-05-31,-0.3256620949523296
2021-06-01,-0.3471095468572522
2021-06-02,-0.15196591470404563
2021-06-03,-0.34937485189448597
2021-06-04,-0.37463006624305834
2021-06-07,-0.15580903418148148
2021-06-08,-0.02984846169505991
2021-06-09,-0.23634461890281078
2021-06-10,0.21430211558545018
2021-06-11,-0.05801464414777544
2021-06-14,-0.00714303936557342
2021-06-15,0.081902381833443
2021-06-16,-0.032200449742076115
2021-06-17,-0.0349006302524876
2021-06-18,-0.1868510350652187
2021-06-21,-0.12975813926125
2021-06-22,-0.017296800879701386
2021-06-23,-0.15587132329876285
2021-06-24,-0.1953671108211699
2021-06-25,0.010766130092507138
2021-06-28,0.05510766433430987
2021-06-29,0.025054855628579422
2021-06-30,-0.02689049917053824
2021-07-01,-0.026787764448181272
2021-07-02,0.07658358634089789
2021-07-05,0.12244897959183673
2021-07-06,0.11984999621237118
2021-07-07,0.2452613587879388
2021-07-08,0.11127834897368308
2021-07-09,0.17971221646799942
2021-07-12,0.2567098696906602
2021-07-13,0.060827189498731504
2021-07-14,0.42962471743559294
2021-07-15,0.5389187963841726
2021-07-16,0.3178733612995269
2021-07-19,0.21145014907535195
2021-07-20,0.21649063755921227
2021-07-22,0.2656325746994889
2021-07-23,0.17690129398446564
2021-07-26,0.1412899282793556
2021-07-27,0.09424190654436344
2021-07-28,0.023726305654103413
2021-07-29,-0.12644147427816654
2021-07-30,-0.017296359606638497
2021-08-02,-0.043425014541590805
2021-08-03,-0.03755293642318648
2021-08-04,0.019032068836517358
2021-08-05,0.029918839882516157
2021-08-06,0.07217806823538099
2021-08-09,0.08198256725579679
2021-08-10,0.03400249771148483
2021-08-11,0.06324129651860745
2021-08-12,-0.009412442697361726
2021-08-13,0.015751812971854413
2021-08-16,0.049077986994736825
2021-08-17,-0.05618517102137191
2021-08-18,-0.0962854469806646
2021-08-20,-0.004369852818854245
2021-08-23,-0.1230791395963899
2021-08-24,-0.07899349326390367
2021-08-25,-0.01781512605042017
2021-08-26,-0.13105700487863017
2021-08-27,-0.29411764705882354
2021-08-30,-0.2678001142462349
2021-08-31,-0.4050620809814822
2021-09-01,-0.2157126395111133
2021-09-02,-0.3523196655528993
2021-09-03,-0.27376207219571147
2021-09-06,-0.2815907068918344
2021-09-07,-0.21590472556588727
2021-09-08,-0.23973490962041838
2021-09-09,-0.21057433754591093
2021-09-13,-0.1762785114045618
2021-09-14,-0.19621590495156033
2021-09-15,-0.09633346964748789
2021-09-16,0.05671476951828673
2021-09-17,-0.0005282493350560152
2021-09-20,-0.29077724761492474
2021-09-21,-0.18866021909874317
2021-09-22,-0.027036761421503325
2021-09-23,0.03481392557022809
2021-09-24,-0.058016954449327786
2021-09-27,0.03063919718305828
2021-09-28,0.11947465728911387
2021-09-29,-0.09278647680591623
2021-09-30,-0.14704187492943654
2021-10-01,-0.14488786504903892
2021-10-04,-0.07313852157184648
2021-10-05,-0.13182222042988745
2021-10-06,-0.2203760180520049
2021-10-07,-0.2361161133000695
2021-10-08,-0.13685802784323736
2021-10-11,-0.18170904468730179
2021-10-12,-0.23894931457822774
2021-10-13,-0.3129712351755342
2021-10-14,-0.17301735941024007
2021-10-18,-0.4152520000208513
2021-10-19,-0.131492376983269
2021-10-20,-0.011909335395983104
2021-10-21,-0.22959085696852916
2021-10-22,-0.16605839435205474
2021-10-25,-0.22362545018007202
2021-10-26,-0.2853438343666597
2021-10-27,-0.2445255477272015
2021-10-28,-0.1722531696185137
2021-10-29,-0.23233366209100015
2021-11-01,-0.2696888209025851
2021-11-02,-0.2870108043217287
2021-11-03,-0.20832232867936312
2021-11-04,-0.17884929587227333
2021-11-08,-0.2072128315873673
2021-11-09,-0.28706571594627117
2021-11-10,-0.057144229169632445
2021-11-11,0.11818662110894425
2021-11-12,0.14608144465556697
2021-11-15,0.08245293901170561
2021-11-16,-0.036735575894763714
2021-11-17,-0.15261237051788026
2021-11-18,-0.06368264401896735
2021-11-22,0.14810901775617294
2021-11-23,0.15233155715464083
2021-11-24,-0.00340985499649071
2021-11-25,-0.041875765469895035
2021-11-26,-0.030157510599505603
2021-11-29,0.0011525993546535117
2021-11-30,-0.018201464892863017
2021-12-01,0.05777404291850716
2021-12-02,0.2560111722031805
2021-12-03,0.31589310236349716
2021-12-06,0.21307657269486724
2021-12-07,0.11876290694937792
2021-12-08,0.19429970996696708
2021-12-09,-0.11823748434361148
2021-12-10,-0.08120437965567512
2021-12-13,0.004994597226537609
2021-12-14,0.08240491749801211
2021-12-15,0.08932001546987328
2021-12-16,-0.012198050289179942
2021-12-17,0.005234722093198072
2021-12-20,-0.2928902449551488
2021-12-21,-0.33146040588944864
2021-12-22,-0.41927583605777613
2021-12-23,-0.37480791437761346
2021-12-24,-0.33904002777231523
2021-12-27,-0.3259376665852924
2021-12-28,-0.3559045302878447
2021-12-29,-0.6015174805245337
2021-12-30,-0.4789665775787721
2021-12-31,-0.5469170194550467
2022-01-03,-0.29470802953688835
2022-01-04,-0.19055851790340947
2022-01-05,-0.3328370456695228
2022-01-06,-0.05888285973893723
2022-01-07,-0.07812725090036014
2022-01-10,-0.08231480429120637
2022-01-11,-0.2580087459360284
2022-01-12,-0.23220632264834626
2022-01-13,0.042644128139067414
2022-01-14,-0.041779720136248484
2022-01-17,0.027565010756559344
2022-01-18,-0.04668251632843263
2022-01-19,0.02161123799944158
2022-01-20,-0.06425278532187659
2022-01-21,0.09416792722827665
2022-01-24,-0.013879217292974703
2022-01-25,-0.2632059165539653
2022-01-27,-0.346867722464509
2022-01-28,-0.28554963393489735
2022-01-31,-0.3130117423541007
2022-02-01,-0.3500768348254711
2022-02-02,-0.1991499993161178
2022-02-03,-0.24597800622511679
2022-02-04,0.03822512490001028
2022-02-07,-0.05623319253506539
2022-02-08,-0.11803404646971138
2022-02-09,-0.05512869772011534
2022-02-10,0.08494801798410066
2022-02-11,-0.021323600259744724
2022-02-14,-0.039145994305284745
2022-02-15,-0.17906792485173054
2022-02-16,-0.0668987878516047
2022-02-17,-0.05517804417994195
2022-02-18,-0.0947967443091431
2022-02-21,-0.030211336125764196
2022-02-22,-0.034293949115732324
2022-02-23,-0.04203905252121829
2022-02-24,-0.11587118884702799
2022-02-25,0.1171120214476996
2022-02-28,0.1995610566400136
2022-03-02,-0.2507976031436802
2022-03-03,-0.3292531174858819
2022-03-04,-0.26125127444035834
2022-03-07,-0.5115626602787023
2022-03-08,-0.4437153552551037
2022-03-09,-0.57774459463704
2022-03-10,-0.34637402642759446
2022-03-11,-0.3857553339298139
2022-03-14,-0.5158940248837313
2022-03-15,-0.37111116224597546
2022-03-16,-0.22774786212737677
2022-03-17,-0.10136663993005167
2022-03-21,-0.20611326053375983
2022-03-22,-0.25779447060196015
2022-03-23,-0.3577004005531002
2022-03-24,-0.5051245504584766
2022-03-25,-0.4654961767741556
2022-03-28,-0.41031674208144797
2022-03-29,-0.42887848152337554
2022-03-30,-0.24904396936317066
2022-03-31,-0.18345136589991273
2022-04-01,-0.08439486862440485
2022-04-04,-0.20367898320560118
2022-04-05,-0.15534991098529857
2022-04-06,-0.14146076625952747
2022-04-07,-0.07416793012085768
2022-04-08,-0.06272060845671946
2022-04-11,-0.10507262782828708
2022-04-12,-0.07466908069055798
2022-04-13,-0.06557006146743305
2022-04-18,-0.09648150304986039
2022-04-19,-0.32150048651863083
2022-04-20,-0.03511391661343526
2022-04-21,0.03796895541169774
2022-04-22,0.06484456316879215
2022-04-25,0.16091225863797973
2022-04-26,0.3604643314515091
2022-04-27,0.25042423751606246
2022-04-28,0.19529853621596213
2022-04-29,0.24470588235294113
2022-05-02,0.01710523342628688
2022-05-04,0.16286173307197482
2022-05-05,0.34239942389142436
2022-05-06,0.0666078418234236
2022-05-09,0.3069508565381877
2022-05-10,0.3790193064540349
2022-05-11,0.4098920750669486
2022-05-12,0.2879058735474727
2022-05-13,0.20128063037069854
2022-05-16,0.3988141240331485
2022-05-17,0.24938908600647977
2022-05-18,0.35152502632885774
2022-05-19,0.3118170095144103
2022-05-20,0.38758146905894203
2022-05-23,0.3276767141667429
2022-05-24,0.19538461538461535
2022-05-25,0.13475417999331213
2022-05-26,0.18842481579542958
2022-05-27,0.29980767246966467
2022-05-30,0.36931779849432955
2022-05-31,0.21996470451046662
2022-06-01,0.24906667930762696
2022-06-02,0.31061634664280113
2022-06-03,0.20082811096788675
2022-06-06,0.21250792013907258
2022-06-07,0.11927871674357647
2022-06-08,0.1809254452126369
2022-06-09,0.03339442069679797
2022-06-10,0.1574457513019209
2022-06-13,0.3205647449518949
2022-06-14,0.4562649898331691
2022-06-15,0.4784940165332209
2022-06-16,0.33510578334156477
2022-06-17,0.3782328341888992
2022-06-20,0.180065619434988
2022-06-21,0.1296015569653059
2022-06-22,0.031044938513021036
2022-06-23,0.01665233722687754
2022-06-24,-0.080003620155216
2022-06-27,0.010815458456822477
2022-06-28,-0.007738256887517337
2022-06-29,-0.16422300727953457
2022-06-30,-0.15108939120136644
2022-07-01,-0.12268078609391521
2022-07-04,-0.18716626015655966
2022-07-05,-0.11236056771817547
2022-07-06,-0.3102020506275041
2022-07-07,-0.2448074576016508
2022-07-08,-0.28807385183000606
2022-07-11,-0.21073351756948017
2022-07-12,-0.1688502725229856
2022-07-13,-0.23205720069701113
2022-07-14,-0.4352134664794077
2022-07-15,-0.5030769230769231
2022-07-18,-0.30297545165047624
2022-07-19,-0.13403018171262274
2022-07-20,-0.0386904089404108
2022-07-21,0.004027422685025218
2022-07-22,-0.020724919700842157
2022-07-25,0.14199737559223294
2022-07-26,0.15539867924990958
2022-07-27,-0.1073351736471563
2022-07-28,-0.07697355041829097
2022-07-29,0.07444112619863169
2022-08-01,0.3182404493116148
2022-08-02,0.44464556520289655
2022-08-03,0.37333394451702107
2022-08-04,0.05941983129387262
2022-08-05,0.18981670547122365
2022-08-08,0.2889467152783108
2022-08-10,0.12087613814617958
2022-08-11,0.18966804935508783
2022-08-12,0.04982802398807744
2022-08-16,0.23869318316478225
2022-08-17,0.05204090889266045
2022-08-18,0.14331938093757401
2022-08-19,0.013802466430678902
2022-08-22,-0.05285905073890302
2022-08-23,0.31349834866252063
2022-08-24,0.2561317776803984
2022-08-25,-0.030548516068984805
2022-08-26,-0.24517414595651835
2022-08-29,-0.18427007044427246
2022-08-30,-0.15131906436597414
2022-09-01,-0.29369173801162296
2022-09-02,-0.322932460489589
2022-09-05,-0.5194570135746606
2022-09-06,-0.35782328546681336
2022-09-07,-0.2549667399159774
2022-09-08,-0.3491481708624568
2022-09-09,-0.18766828946893574
2022-09-12,-0.0950269243925077
2022-09-13,-0.14109500173029488
2022-09-14,-0.41630843067193846
2022-09-15,-0.3690748249333222
2022-09-16,-0.28748557660635066
2022-09-19,-0.1586461232560619
2022-09-20,-0.1242165760718452
2022-09-21,-0.09493642255975293
2022-09-22,-0.23861348110267389
2022-09-23,-0.15195945396656851
2022-09-26,-0.14489999154286853
2022-09-27,-0.15450061236655074
2022-09-28,-0.28303125284340713
2022-09-29,-0.353071616695596
2022-09-30,-0.3325037335410222
2022-10-03,-0.31905505797026223
2022-10-04,-0.1398864091044086
2022-10-06,0.08548091519115322
2022-10-07,-0.01846320941583084
2022-10-10,0.13196361618654423
2022-10-11,0.19200398261305618
2022-10-12,-0.07439418982226358
2022-10-13,-0.0002715239297838472
2022-10-14,-0.025522094318586774
2022-10-17,-0.041042581154287855
2022-10-18,-0.11391717874846685
2022-10-19,-0.08814679067393284
2022-10-20,-0.06348990884904576
2022-10-21,-0.09747267936566652
2022-10-24,-0.02
2022-10-25,-0.10186672765724003
2022-10-27,0.05149321266968326
2022-10-28,-0.08756646735529074
2022-10-31,-0.2046745258917872
2022-11-01,-0.28045883398205124
2022-11-02,-0.2192654972859462
2022-11-03,-0.18916167108274692
2022-11-04,0.06674812227536883
2022-11-07,-0.050550992872735165
2022-11-09,-0.18164128828866546
2022-11-10,-0.1574040576117469
2022-11-11,-0.005927870045437386
2022-11-14,0.05692822903214509
2022-11-15,0.1598787227111038
2022-11-16,0.02633841722241726
2022-11-17,0.03905595957848742
2022-11-18,0.019911304271974437
2022-11-21,0.2444001993542543
2022-11-22,0.1458149498978986
2022-11-23,-0.029371167747900738
2022-11-24,-0.03013779222726736
2022-11-25,-0.14404670449992124
2022-11-28,-0.18515082640551989
2022-11-29,-0.00877947240747242
2022-11-30,-0.1073950053802977
2022-12-01,-0.0074662322696093025
2022-12-02,-0.16552410692261105
2022-12-05,-0.038919310672300415
2022-12-06,-0.028782187892538454
2022-12-07,0.011811023670421198
2022-12-08,0.10457486774813585
2022-12-09,0.09747047387688647
2022-12-12,0.002941442676541678
2022-12-13,0.04511720536172389
2022-12-14,0.1691026745022863
2022-12-15,0.11837907577557269
2022-12-16,0.09439341156322431
2022-12-19,0.07176795337453201
2022-12-20,0.17403896232142685
2022-12-21,0.01728624118741161
2022-12-22,-0.03769827848074162
2022-12-23,-0.34082321157078654
2022-12-26,-0.2334547599106191
2022-12-27,-0.12779726295159743
2022-12-28,-0.08647645787733922
2022-12-29,-0.1298395689810897
2022-12-30,-0.14711072914287737
2023-01-02,-0.11725043038337674
2023-01-03,-0.08227175072450571
2023-01-04,-0.04108876177531346
2023-01-05,-0.13934018320931743
2023-01-06,0.044481650798969076
2023-01-09,-0.011674472276116362
2023-01-10,0.01506957810300352
2023-01-11,-0.030182361223715537
2023-01-12,0.07136392462932654
2023-01-13,0.13507092924111372
2023-01-16,0.10570374898065048
2023-01-17,0.1033078420895691
2023-01-18,0.02398298568001385
2023-01-19,0.0014029053846992012
2023-01-20,-0.05760832710247292
2023-01-23,-0.07905156227277242
2023-01-24,0.1896961336587159
2023-01-25,-0.0672459048821682
2023-01-27,-0.25988777371352084
2023-01-30,-0.23925242201347466
2023-01-31,-0.27773755656108595
2023-02-01,-0.22527435374399857
2023-02-02,-0.24361875851754847
2023-02-03,-0.2701027198566088
2023-02-06,-0.18474350363904476
