Date,Symbol,SecurityName,Quantity,YEAR
09-JUL-2024,COROMANDEL,COROMANDEL INTERNTL. LTD ,"4,200",2024
09-JUL-2024,ICICIBANK,ICICI BANK LTD.,"4,83,700",2024
10-JUL-2024,ABFRL,ADITYA BIRLA FASHION & RT,"7,484",2024
10-JUL-2024,COROMANDEL,COROMANDEL INTERNTL. LTD ,"7,000",2024
10-JUL-2024,SBICARD,SBI CARDS & PAY SER LTD,"84,000",2024
11-JUL-2024,ASIANPAINT,ASIAN PAINTS LIMITED,"58,200",2024
11-JUL-2024,SBICARD,SBI CARDS & PAY SER LTD,"84,800",2024
12-JUL-2024,ASIANPAINT,ASIAN PAINTS LIMITED,"25,000",2024
12-JUL-2024,DRREDDY,DR. REDDY'S LABORATORIES,"10,000",2024
12-JUL-2024,INFY,INFOSYS TECHNOLOGIES LTD,"2,37,600",2024
15-JUL-2024,ASIANPAINT,ASIAN PAINTS LIMITED,"18,200",2024
16-JUL-2024,ASIANPAINT,ASIAN PAINTS LIMITED,"10,600",2024
19-JUL-2024,BANDHANBNK,BANDHAN BANK LIMITED,"25,200",2024
19-JUL-2024,COFORGE,COFORGE LIMITED,"7,050",2024
19-JUL-2024,DRREDDY,DR. REDDY'S LABORATORIES,"12,000",2024
19-JUL-2024,EICHERMOT,EICHER MOTORS LIMITED,"19,075",2024
19-JUL-2024,GMRINFRA,GMR INFRASTRUCTURE LTD.,"90,000",2024
19-JUL-2024,GNFC,GUJARAT NARMADA FERT. CO,"3,900",2024
19-JUL-2024,HINDCOPPER,HINDUSTAN COPPER LIMITED,"18,550",2024
19-JUL-2024,IPCALAB,IPCA LABORATORIES LIMITED,"13,000",2024
19-JUL-2024,PEL,PIRAMAL ENTERPRISES LTD,"1,500",2024
19-JUL-2024,SAIL,STEEL AUTHORITY OF INDIA,"32,000",2024
19-JUL-2024,VEDL,VEDANTA LIMITED,"9,200",2024
22-JUL-2024,COFORGE,COFORGE LIMITED,"5,850",2024
22-JUL-2024,JKCEMENT,JK CEMENT LIMITED,"3,625",2024
22-JUL-2024,JUBLFOOD,JUBILANT FOODWORKS LTD,"8,750",2024
22-JUL-2024,SBICARD,SBI CARDS & PAY SER LTD,"4,000",2024
22-JUL-2024,TATACHEM,TATA CHEMICALS LTD,"2,750",2024
23-JUL-2024,DRREDDY,DR. REDDY'S LABORATORIES,"1,750",2024
24-JUL-2024,EICHERMOT,EICHER MOTORS LIMITED,"12,425",2024
24-JUL-2024,IDFCFIRSTB,IDFC FIRST BANK LIMI,"24,07,500",2024
25-JUL-2024,EICHERMOT,EICHER MOTORS LIMITED,"18,550",2024
25-JUL-2024,JKCEMENT,JK CEMENT LIMITED,125,2024
25-JUL-2024,PVRINOX,PVR INOX Limited,407,2024
29-JUL-2024,COROMANDEL,COROMANDEL INTERNTL. LTD ,"2,800",2024
29-JUL-2024,JUBLFOOD,JUBILANT FOODWORKS LTD,"3,750",2024
29-JUL-2024,TORNTPHARM,TORRENT PHARMACEUTICALS L,"14,000",2024
30-JUL-2024,TATAMOTORS,TATA MOTORS LIMITED,"11,73,700",2024
30-JUL-2024,TORNTPHARM,TORRENT PHARMACEUTICALS L,"15,250",2024
31-JUL-2024,TATAMOTORS,TATA MOTORS LIMITED,"1,10,550",2024
31-JUL-2024,TORNTPHARM,TORRENT PHARMACEUTICALS L,"18,000",2024
01-AUG-2024,TATAMOTORS,TATA MOTORS LIMITED,"1,70,500",2024
01-AUG-2024,TORNTPHARM,TORRENT PHARMACEUTICALS L,"10,500",2024
01-AUG-2024,UBL,UNITED BREWERIES LIMITED,"6,800",2024
02-AUG-2024,BATAINDIA,BATA INDIA LTD,"10,500",2024
02-AUG-2024,SBICARD,SBI CARDS & PAY SER LTD,"19,200",2024
