Industry,5D_P10,5D_P25,5D_P50,5D_P75,5D_P90,10D_P10,10D_P50,10D_P90,20D_P10,20D_P50,20D_P90
Media & Entertainment,-4.42,-2.67,-1.57,-0.32,1.88,-6.32,-2.22,2.98,-8.85,-3.05,4.55
Media Entertainment & Publication,-3.62,-1.87,-0.77,0.48,2.68,-5.14,-1.04,4.16,-7.16,-1.36,6.24
Metals & Mining,-4.81,-3.06,-1.96,-0.71,1.49,-6.9,-2.8,2.4,-9.67,-3.87,3.73
Microfinance NBFC,-5.17,-3.42,-2.32,-1.07,1.13,-7.44,-3.34,1.86,-10.45,-4.65,2.95
Mining & Mineral Products,-4.36,-2.61,-1.51,-0.26,1.94,-6.24,-2.14,3.06,-8.73,-2.93,4.67
Non Banking Financial Company (NBFC),-4.25,-2.5,-1.4,-0.15,2.05,-6.08,-1.98,3.22,-8.5,-2.7,4.9
Oil Exploration & Refining,-4.48,-2.73,-1.63,-0.38,1.82,-6.42,-2.32,2.88,-8.99,-3.19,4.41
Oil Gas & Consumable Fuels,-3.24,-1.49,-0.39,0.86,3.06,-4.59,-0.49,4.71,-6.36,-0.56,7.04
Packaged Foods & Consumer Staples,-4.09,-2.34,-1.24,0.01,2.21,-5.83,-1.73,3.47,-8.15,-2.35,5.25
Packaged Foods & FMCG Staples,-4.65,-2.9,-1.8,-0.55,1.65,-6.67,-2.57,2.63,-9.34,-3.54,4.06
Packaging & Containers,-3.33,-1.58,-0.48,0.77,2.97,-4.73,-0.63,4.57,-6.56,-0.76,6.84
Packaging Materials & Containers,-3.68,-1.93,-0.83,0.42,2.62,-5.23,-1.13,4.07,-7.29,-1.49,6.11
Paints,-4.28,-2.53,-1.43,-0.18,2.02,-6.12,-2.02,3.18,-8.56,-2.76,4.84
Paints & Coatings,-3.37,-1.62,-0.52,0.73,2.93,-4.79,-0.69,4.51,-6.65,-0.85,6.75
Paper & Paper Products,-4.59,-2.84,-1.74,-0.49,1.71,-6.58,-2.48,2.72,-9.22,-3.42,4.18
Passenger Cars & Utility Vehicles,-4.29,-2.54,-1.44,-0.19,2.01,-6.13,-2.03,3.17,-8.57,-2.77,4.83
Pharmaceuticals,-3.76,-2.01,-0.91,0.34,2.54,-5.36,-1.26,3.94,-7.47,-1.67,5.93
Pharmaceuticals & Biotechnology,-4.35,-2.6,-1.5,-0.25,1.95,-6.22,-2.12,3.08,-8.71,-2.91,4.69
Pipes & Tubes,-3.67,-1.92,-0.82,0.43,2.63,-5.23,-1.13,4.07,-7.28,-1.48,6.12
Plastic Pipes & Fittings,-3.58,-1.83,-0.73,0.52,2.72,-5.09,-0.99,4.21,-7.09,-1.29,6.31
Plastic Pipes & Moulded Products,-4.84,-3.09,-1.99,-0.74,1.46,-6.94,-2.84,2.36,-9.74,-3.94,3.66
Plywood & Boards,-4.44,-2.69,-1.59,-0.34,1.86,-6.36,-2.26,2.94,-8.91,-3.11,4.49
"Plywood, MDF & Laminates",-4.21,-2.46,-1.36,-0.11,2.09,-6.01,-1.91,3.29,-8.41,-2.61,4.99
Power,-5.1,-3.35,-2.25,-1.0,1.2,-7.32,-3.22,1.98,-10.28,-4.48,3.12
Power Generation & Distribution,-5.29,-3.54,-2.44,-1.19,1.01,-7.61,-3.51,1.69,-10.7,-4.9,2.7
Power Generation & Utilities,-5.12,-3.37,-2.27,-1.02,1.18,-7.36,-3.26,1.94,-10.34,-4.54,3.06
Power Sector Financing NBFC,-5.28,-3.53,-2.43,-1.18,1.02,-7.59,-3.49,1.71,-10.67,-4.87,2.73
Project Management & Civil Construction,-5.2,-3.45,-2.35,-1.1,1.1,-7.47,-3.37,1.83,-10.5,-4.7,2.9
Pumps & Compressors,-4.8,-3.05,-1.95,-0.7,1.5,-6.88,-2.78,2.42,-9.65,-3.85,3.75
Railway Financing,-5.23,-3.48,-2.38,-1.13,1.07,-7.51,-3.41,1.79,-10.56,-4.76,2.84
Railway Infrastructure,-5.2,-3.45,-2.35,-1.1,1.1,-7.48,-3.38,1.82,-10.51,-4.71,2.89
Railway Infrastructure & Consulting,-5.23,-3.48,-2.38,-1.13,1.07,-7.51,-3.41,1.79,-10.56,-4.76,2.84
Railway Telecom,-4.07,-2.32,-1.22,0.03,2.23,-5.81,-1.71,3.49,-8.12,-2.32,5.28
Railway Ticketing & Catering,-5.26,-3.51,-2.41,-1.16,1.04,-7.56,-3.46,1.74,-10.63,-4.83,2.77
Railway Wagons & Equipment,-5.21,-3.46,-2.36,-1.11,1.09,-7.49,-3.39,1.81,-10.53,-4.73,2.87
Railways,-4.24,-2.49,-1.39,-0.14,2.06,-6.06,-1.96,3.24,-8.48,-2.68,4.92
Realty,-3.85,-2.1,-1.0,0.25,2.45,-5.49,-1.39,3.81,-7.65,-1.85,5.75
Renewable Energy,-4.81,-3.06,-1.96,-0.71,1.49,-6.9,-2.8,2.4,-9.68,-3.88,3.72
Renewable Energy - Solar & Wind,-4.93,-3.18,-2.08,-0.83,1.37,-7.07,-2.97,2.23,-9.93,-4.13,3.47
Renewable Energy Financing NBFC,-5.22,-3.47,-2.37,-1.12,1.08,-7.5,-3.4,1.8,-10.54,-4.74,2.86
Residential & Commercial Real Estate,-4.51,-2.76,-1.66,-0.41,1.79,-6.45,-2.35,2.85,-9.04,-3.24,4.36
Roads & Highways EPC,-5.2,-3.45,-2.35,-1.1,1.1,-7.47,-3.37,1.83,-10.5,-4.7,2.9
Rubber Chemicals,-5.11,-3.36,-2.26,-1.01,1.19,-7.34,-3.24,1.96,-10.31,-4.51,3.09
Saw Pipes & Ductile Iron Pipes,-2.0,-0.25,0.85,2.1,4.3,-2.76,1.34,6.54,-3.75,2.05,9.65
Semiconductors & Electronic Components,-5.04,-3.29,-2.19,-0.94,1.26,-7.24,-3.14,2.06,-10.16,-4.37,3.23
Services,-4.22,-2.47,-1.37,-0.12,2.08,-6.03,-1.93,3.27,-8.44,-2.64,4.96
Ship Building & Defence,-3.96,-2.21,-1.11,0.14,2.34,-5.64,-1.54,3.66,-7.88,-2.08,5.52
Software Products & Digital Services,-4.3,-2.55,-1.45,-0.2,2.0,-6.15,-2.05,3.15,-8.6,-2.8,4.8
Specialty Chemicals,-4.21,-2.46,-1.36,-0.11,2.09,-6.01,-1.91,3.29,-8.4,-2.6,5.0
Steel Manufacturing & Mining,-3.22,-1.47,-0.37,0.88,3.08,-4.56,-0.46,4.74,-6.33,-0.53,7.07
Stockbroking & Financial Products,-4.11,-2.36,-1.26,-0.01,2.19,-5.86,-1.76,3.44,-8.19,-2.39,5.21
Structural Steel Tubes & Pipes,-3.24,-1.49,-0.39,0.86,3.06,-4.59,-0.49,4.71,-6.36,-0.56,7.04
Sugar & Bio-Ethanol,-3.64,-1.89,-0.79,0.46,2.66,-5.18,-1.08,4.12,-7.22,-1.42,6.18
Superalloys & Special Metals,-3.26,-1.51,-0.41,0.84,3.04,-4.62,-0.52,4.68,-6.41,-0.61,6.99
Tea & Coffee,-3.73,-1.98,-0.88,0.37,2.57,-5.3,-1.2,4.0,-7.39,-1.59,6.01
Telecom Services & Infrastructure,-4.78,-3.03,-1.93,-0.68,1.52,-6.86,-2.76,2.44,-9.62,-3.82,3.78
Telecommunication,-4.58,-2.83,-1.73,-0.48,1.72,-6.57,-2.47,2.73,-9.2,-3.4,4.2
Textiles,-3.17,-1.42,-0.32,0.93,3.13,-4.48,-0.38,4.82,-6.21,-0.41,7.19
Textiles & Apparel,-4.38,-2.63,-1.53,-0.28,1.92,-6.27,-2.17,3.03,-8.78,-2.98,4.62
"Textiles, Yarns & Apparel",-3.92,-2.17,-1.07,0.18,2.38,-5.59,-1.49,3.71,-7.81,-2.01,5.59
Tractors & Farm Equipment,-4.21,-2.46,-1.36,-0.11,2.09,-6.02,-1.92,3.28,-8.41,-2.61,4.99
Transformers & T&D Equipment,-4.16,-2.41,-1.31,-0.06,2.14,-5.94,-1.84,3.36,-8.3,-2.5,5.1
Travel Tech SaaS Solutions,-2.1,-0.35,0.75,2.0,4.2,-2.91,1.19,6.39,-3.96,1.84,9.44
Tyres & Rubber Products,-4.66,-2.91,-1.81,-0.56,1.64,-6.68,-2.58,2.62,-9.37,-3.57,4.03
Utilities,-5.22,-3.47,-2.37,-1.12,1.08,-7.5,-3.4,1.8,-10.55,-4.75,2.85
Water & Wastewater Treatment,-4.97,-3.22,-2.12,-0.87,1.33,-7.14,-3.04,2.16,-10.02,-4.22,3.38
Wealth & Asset Management,-3.26,-1.51,-0.41,0.84,3.04,-4.62,-0.52,4.68,-6.42,-0.62,6.98
Wires & Cables,-4.09,-2.34,-1.24,0.01,2.21,-5.84,-1.74,3.46,-8.15,-2.35,5.25
Zinc & Silver Mining,-2.08,-0.33,0.77,2.02,4.22,-2.88,1.22,6.42,-3.92,1.88,9.48
