industry,macro_sector,constituent_count,breadth_status,reliability_tier,confidence_score,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,best_horizon,final_opportunity_class,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,20D_P10,20D_P25,20D_P50,20D_P75,20D_P90,20D_P95,20D_P_pos,20D_P_gt_5,20D_P_gt_8,20D_P_gt_10,20D_P_gt_15,upside_asymmetry_score,model_consensus_score,analog_quality_score,data_completeness,regime_compatibility,primary_strength_rank,primary_opportunity_rank
Bearings & Friction Solutions,Other,9,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,61.0,15.2,NEUTRAL,50.0,33.6,30D,LAGGARD,-1.39,-1.82,-2.27,-2.56,-1.54,-2.17,-3.07,-3.76,-9.62,-5.5,-1.39,4.36,10.1,13.26,30.2,13.5,7.0,4.8,1.8,68.4,86.4,79.2,100.0%,HIGH,40,25
Automobile OEMs,Other,16,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,80.5,22.0,NEUTRAL,50.0,33.2,30D,LAGGARD,-1.06,-1.37,-1.63,-1.77,-1.21,-1.72,-2.43,-2.97,-7.43,-3.55,0.33,3.44,6.55,8.82,35.3,16.2,8.3,5.6,2.0,44.8,86.4,79.2,100.0%,HIGH,17,27
Non Banking Financial Company (NBFC),Other,124,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,95.0,16.6,NEUTRAL,50.0,33.2,30D,LAGGARD,-1.32,-1.72,-2.13,-2.39,-1.47,-2.07,-2.93,-3.59,-7.49,-4.05,-0.61,3.7,8.01,31.14,31.3,14.0,7.2,4.9,1.8,60.9,86.4,79.2,100.0%,HIGH,37,27
Commodity Chemicals,Other,43,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,94.0,20.8,NEUTRAL,50.0,32.9,30D,LAGGARD,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,-10.31,-5.01,0.28,4.59,8.9,11.33,35.2,16.2,8.3,5.6,2.0,42.6,86.4,79.2,100.0%,HIGH,26,29
"Logistics, Ports & Supply Chain",Other,15,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,80.0,19.2,NEUTRAL,50.0,32.8,30D,LAGGARD,-1.16,-1.5,-1.82,-2.0,-1.31,-1.85,-2.62,-3.2,-8.42,-4.55,-0.69,2.77,6.22,8.05,33.7,15.3,7.9,5.3,2.0,48.2,86.4,79.2,100.0%,HIGH,30,30
"Hotels, Resorts & QSR",Other,17,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,81.0,22.5,NEUTRAL,50.0,32.7,30D,LAGGARD,-1.01,-1.29,-1.51,-1.63,-1.16,-1.64,-2.31,-2.83,-10.66,-5.85,-1.04,2.24,5.51,7.3,36.3,16.8,8.5,5.8,2.1,37.2,86.4,79.2,100.0%,HIGH,13,31
Ceramics & Tiles,Other,9,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,61.0,13.0,NEUTRAL,50.0,32.6,30D,LAGGARD,-1.39,-1.82,-2.27,-2.56,-1.54,-2.17,-3.07,-3.76,-10.02,-6.01,-2.0,2.96,7.92,12.21,30.2,13.5,7.0,4.8,1.8,61.6,86.4,79.2,100.0%,HIGH,45,32
Packaged Foods & Consumer Staples,Other,13,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,74.0,18.4,NEUTRAL,50.0,32.5,30D,LAGGARD,-1.16,-1.51,-1.83,-2.02,-1.31,-1.86,-2.63,-3.22,-8.99,-4.5,-0.01,3.88,7.77,10.8,33.7,15.3,7.8,5.3,2.0,46.4,86.4,79.2,100.0%,HIGH,31,33
Consumer Services,Other,21,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,83.0,22.4,NEUTRAL,50.0,32.4,30D,LAGGARD,-1.04,-1.33,-1.57,-1.71,-1.19,-1.68,-2.37,-2.91,-10.38,-5.48,-0.59,2.8,6.19,8.91,35.8,16.5,8.4,5.7,2.1,37.5,86.4,79.2,100.0%,HIGH,14,34
Logistics & Transportation,Other,20,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,82.5,15.9,NEUTRAL,50.0,32.2,30D,LAGGARD,-1.26,-1.64,-2.01,-2.25,-1.41,-1.99,-2.81,-3.45,-9.64,-5.13,-0.62,3.74,8.09,10.98,32.2,14.5,7.5,5.1,1.9,50.6,86.4,79.2,100.0%,HIGH,39,35
Electronic Manufacturing Services (EMS),Other,11,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,68.0,21.2,NEUTRAL,50.0,32.0,30D,LAGGARD,-1.08,-1.39,-1.66,-1.81,-1.23,-1.74,-2.46,-3.01,-10.68,-4.68,1.33,5.84,10.35,13.12,35.1,16.1,8.2,5.6,2.0,37.5,86.4,79.2,100.0%,HIGH,22,36
Diversified Commercial,Other,1864,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,95.0,18.0,NEUTRAL,50.0,31.9,30D,LAGGARD,-1.23,-1.61,-1.97,-2.19,-1.38,-1.96,-2.77,-3.39,-7.85,-4.32,-0.8,2.21,5.22,6.86,32.5,14.7,7.6,5.1,1.9,47.1,86.4,79.2,100.0%,HIGH,35,37
Aluminium & Mining,Other,11,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,68.0,17.6,NEUTRAL,50.0,31.7,30D,LAGGARD,-1.32,-1.73,-2.14,-2.4,-1.47,-2.08,-2.94,-3.6,-8.81,-4.71,-0.61,3.38,7.37,10.56,31.2,14.0,7.2,4.9,1.8,51.1,86.4,79.2,100.0%,HIGH,36,38
Software Products & Digital Services,Other,62,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,95.0,18.1,NEUTRAL,50.0,31.5,30D,LAGGARD,-1.26,-1.64,-2.02,-2.25,-1.41,-1.99,-2.82,-3.45,-8.05,-4.01,0.03,3.46,6.89,12.35,32.1,14.5,7.5,5.1,1.9,46.1,86.4,79.2,100.0%,HIGH,34,39
"Plywood, MDF & Laminates",Other,7,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,53.0,10.9,NEUTRAL,50.0,31.4,30D,LAGGARD,-1.39,-1.83,-2.28,-2.57,-1.54,-2.18,-3.08,-3.77,-9.09,-5.43,-1.78,2.03,5.85,8.23,30.1,13.4,7.0,4.8,1.8,53.7,86.4,79.2,100.0%,HIGH,51,40
Specialty Chemicals,Other,40,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,92.5,16.2,NEUTRAL,50.0,30.6,30D,LAGGARD,-1.34,-1.75,-2.17,-2.44,-1.49,-2.1,-2.97,-3.64,-7.96,-4.28,-0.61,2.36,5.32,7.33,30.9,13.9,7.2,4.9,1.8,45.1,86.4,79.2,100.0%,HIGH,38,41
Iron & Steel,Other,27,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,86.0,15.2,NEUTRAL,50.0,30.6,30D,LAGGARD,-1.35,-1.77,-2.2,-2.48,-1.5,-2.12,-3.0,-3.68,-7.43,-3.62,0.19,3.38,6.58,8.98,30.7,13.7,7.1,4.9,1.8,46.0,86.4,79.2,100.0%,HIGH,40,41
Renewable Energy,Other,8,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,57.0,4.6,NEUTRAL,50.0,30.5,30D,LAGGARD,-1.7,-2.26,-2.9,-3.33,-1.85,-2.61,-3.7,-4.53,-11.96,-6.7,-1.44,5.35,12.15,16.74,25.6,11.2,5.9,4.1,1.6,67.1,86.4,79.2,100.0%,HIGH,70,43
Metals & Mining,Other,7,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,53.0,13.6,NEUTRAL,50.0,30.1,30D,LAGGARD,-1.19,-1.54,-1.88,-2.08,-1.34,-1.89,-2.68,-3.28,-11.54,-5.9,-0.26,3.38,7.02,9.29,33.3,15.1,7.7,5.3,1.9,32.3,86.4,79.2,100.0%,HIGH,43,44
