Industry,P_Pos_20D,P_Beat_Smallcap_20D,P_Gt_2pct_20D,P_Gt_5pct_20D,P_Gt_8pct_20D,P_Gt_10pct_20D,P_Gt_15pct_20D,P_Gt_20pct_20D,P_Excess_Gt_2pct_20D,P_Excess_Gt_5pct_20D,P_Excess_Gt_10pct_20D
Software Products & Digital Services,33.9,28.3,20.4,7.4,1.9,1.0,0.5,0.1,16.3,5.5,0.5
Specialty Chemicals,35.3,29.6,21.5,8.0,2.1,1.0,0.5,0.1,17.3,6.0,0.5
Steel Manufacturing & Mining,49.5,43.1,33.6,14.9,4.8,1.9,0.5,0.1,28.0,11.6,1.3
Stockbroking & Financial Products,36.9,31.1,22.8,8.6,2.4,1.0,0.5,0.1,18.3,6.5,0.6
Structural Steel Tubes & Pipes,49.3,42.8,33.4,14.7,4.8,1.9,0.5,0.1,27.8,11.5,1.3
Sugar & Bio-Ethanol,41.0,34.9,26.1,10.4,3.0,1.1,0.5,0.1,21.3,7.9,0.8
Superalloys & Special Metals,49.0,42.5,33.1,14.6,4.7,1.8,0.5,0.1,27.6,11.3,1.3
Tea & Coffee,42.9,36.7,27.8,11.3,3.4,1.3,0.5,0.1,22.7,8.7,0.9
Telecom Services & Infrastructure,27.2,22.3,15.4,5.1,1.2,1.0,0.5,0.1,12.1,3.7,0.5
Telecommunication,30.1,24.8,17.5,6.0,1.5,1.0,0.5,0.1,13.8,4.5,0.5
Textiles,50.3,43.8,34.3,15.3,5.0,2.0,0.5,0.1,28.6,12.0,1.4
Textiles & Apparel,32.9,27.4,19.6,7.0,1.8,1.0,0.5,0.1,15.6,5.2,0.5
"Textiles, Yarns & Apparel",40.1,34.1,25.4,10.0,2.9,1.0,0.5,0.1,20.6,7.6,0.7
Tractors & Farm Equipment,35.1,29.4,21.3,7.9,2.1,1.0,0.5,0.1,17.1,5.9,0.5
Transformers & T&D Equipment,37.1,31.2,22.9,8.7,2.4,1.0,0.5,0.1,18.5,6.6,0.6
Travel Tech SaaS Solutions,69.6,63.5,54.0,30.2,12.8,6.1,0.5,0.1,47.4,24.9,4.5
Tyres & Rubber Products,29.4,24.2,17.0,5.8,1.4,1.0,0.5,0.1,13.4,4.3,0.5
Utilities,22.3,17.9,12.0,3.6,1.0,1.0,0.5,0.1,9.2,2.6,0.5
Water & Wastewater Treatment,24.4,19.8,13.5,4.2,1.0,1.0,0.5,0.1,10.4,3.1,0.5
Wealth & Asset Management,49.0,42.5,33.1,14.5,4.7,1.8,0.5,0.1,27.5,11.3,1.3
Wires & Cables,37.1,31.2,22.9,8.7,2.4,1.0,0.5,0.1,18.4,6.5,0.6
Zinc & Silver Mining,69.8,63.7,54.3,30.4,12.9,6.1,0.5,0.1,47.7,25.2,4.5
