date,industry,early_radar_score,alert_tier,accumulation_pressure,cross_stock_synchronization,prob_5d,ind_fwd_5d,major_industry_move_5d
2025-06-25,Solar PV & Green Hydrogen,58.4,WATCH (Unusual Precursor),64.5,68.2,0.10108267215265707,2.239846604079838,0
2025-06-26,Solar PV & Green Hydrogen,60.3,WATCH (Unusual Precursor),57.9,75.0,0.11419522597401684,2.0563577168910023,0
2025-06-30,Solar PV & Green Hydrogen,65.2,EARLY (Elevated Probability),67.4,71.4,0.10108267215265707,-0.2555813398080379,0
2025-07-10,Solar PV & Green Hydrogen,60.3,WATCH (Unusual Precursor),73.3,63.2,0.1198432722709986,0.5906973295434933,0
2025-07-14,Solar PV & Green Hydrogen,55.2,WATCH (Unusual Precursor),61.7,66.7,0.07530376529943716,5.294671547925529,1
2025-07-21,Solar PV & Green Hydrogen,56.2,WATCH (Unusual Precursor),67.3,54.8,0.08577920645059194,0.8092140495336018,1
2024-03-25,Specialty Chemicals,61.6,WATCH (Unusual Precursor),62.4,59.3,0.11314949915091665,1.0163492918733832,0
2024-04-01,Specialty Chemicals,66.3,EARLY (Elevated Probability),66.3,65.9,0.1268434211484292,5.86975391996268,0
2024-04-02,Specialty Chemicals,69.3,EARLY (Elevated Probability),63.2,87.5,0.12540965746822577,3.174826418706864,0
2024-04-03,Specialty Chemicals,72.5,EARLY (Elevated Probability),68.6,93.2,0.11570098894928081,1.875354551050471,0
2024-04-04,Specialty Chemicals,65.7,EARLY (Elevated Probability),61.6,94.3,0.11570098894928081,0.8323241981328419,0
2024-04-05,Specialty Chemicals,62.7,WATCH (Unusual Precursor),56.6,94.3,0.11570098894928081,-0.041536753908944075,0
2024-05-17,Specialty Chemicals,58.5,WATCH (Unusual Precursor),58.6,73.3,0.09907934458771381,0.5715494235697717,0
2024-05-20,Specialty Chemicals,58.6,WATCH (Unusual Precursor),54.1,74.4,0.10655524146769009,-0.36119188572986205,0
2024-05-21,Specialty Chemicals,62.9,WATCH (Unusual Precursor),62.0,63.3,0.09197376794381218,-1.3191129077347508,0
2024-05-22,Specialty Chemicals,60.4,WATCH (Unusual Precursor),59.6,64.4,0.07613939420845171,-1.2391945699351856,0
2024-06-07,Specialty Chemicals,60.1,WATCH (Unusual Precursor),64.3,55.6,0.1276787505042273,7.005532698757836,0
2024-06-10,Specialty Chemicals,63.6,WATCH (Unusual Precursor),64.0,67.4,0.12373450255527163,5.096169404322948,0
2024-06-11,Specialty Chemicals,64.5,WATCH (Unusual Precursor),59.6,82.6,0.12345748122661779,4.813294042764886,0
2024-06-12,Specialty Chemicals,70.2,EARLY (Elevated Probability),65.2,88.0,0.13205258583243626,3.5940606467099125,0
2024-06-13,Specialty Chemicals,65.4,EARLY (Elevated Probability),59.2,89.1,0.1285107506386981,4.454779299000927,0
2024-06-14,Specialty Chemicals,72.2,EARLY (Elevated Probability),72.0,88.0,0.13525356479536133,2.2814933751057866,0
2024-06-17,Specialty Chemicals,66.1,EARLY (Elevated Probability),66.1,87.0,0.12050596921238335,2.5744329207051417,0
2024-06-20,Specialty Chemicals,60.9,WATCH (Unusual Precursor),70.4,85.9,0.09907227667066285,-1.0991525438921177,0
2024-07-29,Specialty Chemicals,61.7,WATCH (Unusual Precursor),63.2,88.0,0.12166686683743634,-2.1879205777325343,0
2024-07-30,Specialty Chemicals,70.7,EARLY (Elevated Probability),77.1,89.1,0.12835101385119319,-3.8454493990420797,0
2024-07-31,Specialty Chemicals,63.8,WATCH (Unusual Precursor),67.7,84.8,0.12063310264507446,-1.8025875517005105,0
2024-08-21,Specialty Chemicals,63.4,WATCH (Unusual Precursor),59.2,83.3,0.13347777406555095,2.241453153145082,0
2024-08-22,Specialty Chemicals,68.0,EARLY (Elevated Probability),65.0,87.0,0.1262140959392678,0.7934051817368204,0
2024-08-27,Specialty Chemicals,60.3,WATCH (Unusual Precursor),59.2,76.7,0.10508810083589006,0.3911662918144188,0
2024-10-14,Specialty Chemicals,55.0,WATCH (Unusual Precursor),46.0,71.3,0.11009033380450803,-2.3082486756120772,0
2024-10-16,Specialty Chemicals,59.0,WATCH (Unusual Precursor),57.9,56.4,0.12126061099042347,-5.190125805139733,0
2024-11-05,Specialty Chemicals,58.8,WATCH (Unusual Precursor),50.5,59.1,0.08953968517287135,-2.8633491348360263,0
2024-11-06,Specialty Chemicals,68.4,EARLY (Elevated Probability),60.2,71.7,0.13089985883645666,-7.452809510146108,0
2024-11-07,Specialty Chemicals,60.8,WATCH (Unusual Precursor),52.8,64.1,0.12665369042020605,-7.014210579906226,0
2024-11-28,Specialty Chemicals,57.8,WATCH (Unusual Precursor),50.9,55.4,0.09072114180781303,2.6308856775224214,0
2024-12-02,Specialty Chemicals,57.8,WATCH (Unusual Precursor),51.7,53.2,0.11982184283979161,2.8580386074046475,0
2024-12-03,Specialty Chemicals,67.0,EARLY (Elevated Probability),62.4,59.8,0.11831071985041543,3.4718501692679173,0
2024-12-04,Specialty Chemicals,63.4,WATCH (Unusual Precursor),57.8,62.2,0.12507505800801502,3.852357603351554,0
2024-12-05,Specialty Chemicals,62.9,WATCH (Unusual Precursor),59.6,63.0,0.11725548821230611,2.6800616928793914,0
2024-12-06,Specialty Chemicals,62.0,WATCH (Unusual Precursor),57.4,62.0,0.11831071985041543,2.1130873038954827,0
2024-12-09,Specialty Chemicals,64.2,WATCH (Unusual Precursor),62.5,57.4,0.12507505800801502,2.0818252224922635,0
