date,industry,early_radar_score,v3_2_strength,prob_1d,prob_3d,prob_5d,alert_tier,ind_fwd_5d
2025-01-03,Wind Turbines & Wind Energy,31.3,29.1,0.20030520695272808,0.1721664554618674,0.1771258885652687,NONE (Neutral),-9.108116395932978
2025-01-07,Wind Turbines & Wind Energy,58.6,22.6,0.15563051717996298,0.1285431141000395,0.11345643804430844,WATCH (Unusual Precursor),-8.097278975442821
2025-01-08,Wind Turbines & Wind Energy,34.0,22.0,0.13423440595898606,0.10207113964202112,0.09808087040687682,NONE (Neutral),-6.091911434990944
2025-01-09,Wind Turbines & Wind Energy,39.0,22.0,0.12893264363411333,0.09872729526887261,0.09309916369431377,NONE (Neutral),-4.485995058970391
2025-01-10,Wind Turbines & Wind Energy,19.4,8.0,0.1428253764879391,0.13591807705388725,0.13429007123302963,NONE (Neutral),-0.7444501511465764
2025-01-22,Wind Turbines & Wind Energy,15.6,8.0,0.17089488459864188,0.13510087347918573,0.16522777849189965,NONE (Neutral),-6.7518303932885875
2025-02-10,Wind Turbines & Wind Energy,15.5,12.9,0.16084051072905203,0.11012813171809428,0.12698807390757752,NONE (Neutral),-10.924545594136648
2025-03-25,Wind Turbines & Wind Energy,64.2,52.2,0.16384504299845332,0.17377203183133427,0.14285183797522277,WATCH (Unusual Precursor),-3.5580186947149395
2025-03-27,Wind Turbines & Wind Energy,37.0,36.3,0.13208977131289132,0.13553789364175334,0.1502303898442868,NONE (Neutral),-2.776415645977972
2025-03-28,Wind Turbines & Wind Energy,51.7,40.8,0.1260569330679912,0.10014299614302721,0.11060422657711627,NONE (Neutral),-7.717625315367516
2025-04-02,Wind Turbines & Wind Energy,33.2,46.5,0.18966098972375278,0.10965362477562013,0.11831071985041543,NONE (Neutral),-7.6439490900432485
2025-04-04,Wind Turbines & Wind Energy,32.7,23.5,0.13593239620188918,0.12365955574998176,0.13370808780785473,NONE (Neutral),1.0550983549072201
2025-04-15,Wind Turbines & Wind Energy,31.5,34.5,0.2180291502470153,0.13712806070155742,0.14721636227473506,NONE (Neutral),9.087537355414955
2025-04-16,Wind Turbines & Wind Energy,48.0,44.9,0.13048003111917802,0.12579680498562723,0.13053195770913073,NONE (Neutral),9.076673956180963
2025-04-17,Wind Turbines & Wind Energy,42.7,52.8,0.1385971065132289,0.13315107987072292,0.1356166058123408,NONE (Neutral),4.7991182513569335
