Industry,20D_P_gt_2pct,20D_P_gt_5pct,20D_P_gt_8pct,20D_P_gt_10pct,20D_P_gt_15pct,20D_P_gt_20pct
Textiles & Apparel,14.9,5.4,2.1,1.2,0.5,0.2
"Textiles, Yarns & Apparel",20.3,7.4,2.8,1.6,0.5,0.2
Tractors & Farm Equipment,16.4,5.9,2.3,1.3,0.5,0.2
Transformers & T&D Equipment,17.9,6.5,2.5,1.4,0.5,0.2
Travel Tech SaaS Solutions,55.2,25.4,9.3,4.8,1.1,0.4
Tyres & Rubber Products,12.6,4.6,1.9,1.1,0.5,0.2
Utilities,8.8,3.3,1.5,1.0,0.5,0.2
Water & Wastewater Treatment,9.8,3.7,1.5,1.0,0.5,0.2
Wealth & Asset Management,28.6,10.7,3.9,2.2,0.6,0.2
Wires & Cables,17.9,6.5,2.5,1.4,0.5,0.2
Zinc & Silver Mining,55.6,25.7,9.4,4.8,1.1,0.4
