industry,constituent_count,reliability_tier,20D_exp_ret,P10,P25,P50,P75,P90,P95,Upside_Spread (P90-P50),Downside_Spread (P50-P10)
Media & Entertainment,23,VERY_HIGH_RELIABILITY,-2.66,-8.55,-5.09,-1.62,1.95,5.53,8.05,7.15,6.93
Media Entertainment & Publication,2,RESEARCH_ONLY,-0.54,-9.09,-4.39,0.32,5.64,10.97,13.72,10.65,9.41
Metals & Mining,7,MODERATE_RELIABILITY,-1.88,-11.54,-5.9,-0.26,3.38,7.02,9.29,7.28,11.28
Microfinance NBFC,1,RESEARCH_ONLY,-3.62,-15.82,-9.82,-3.83,2.59,9.01,17.25,12.84,11.99
Mining & Mineral Products,8,MODERATE_RELIABILITY,-1.07,-10.78,-6.02,-1.26,3.83,8.92,11.4,10.18,9.52
Non Banking Financial Company (NBFC),124,VERY_HIGH_RELIABILITY,-2.13,-7.49,-4.05,-0.61,3.7,8.01,31.14,8.62,6.88
Oil Exploration & Refining,15,VERY_HIGH_RELIABILITY,-2.55,-10.85,-6.31,-1.77,2.23,6.23,8.46,8.0,9.08
Oil Gas & Consumable Fuels,1,RESEARCH_ONLY,-0.08,-7.49,-3.46,0.57,6.53,12.49,14.47,11.92,8.06
Packaged Foods & Consumer Staples,13,HIGH_RELIABILITY,-1.83,-8.99,-4.5,-0.01,3.88,7.77,10.8,7.78,8.98
Packaged Foods & FMCG Staples,20,VERY_HIGH_RELIABILITY,-3.0,-9.33,-5.52,-1.7,1.02,3.75,5.88,5.45,7.63
Packaging & Containers,3,RESEARCH_ONLY,-0.24,-9.56,-4.89,-0.21,6.37,12.95,16.86,13.16,9.35
Packaging Materials & Containers,8,MODERATE_RELIABILITY,-0.9,-8.84,-4.85,-0.87,4.99,10.84,14.43,11.71,7.97
Paints,4,RESEARCH_ONLY,-2.84,-7.52,-4.43,-1.33,1.6,4.52,6.42,5.85,6.19
Paints & Coatings,2,RESEARCH_ONLY,-0.3,-9.01,-4.55,-0.09,4.32,8.74,13.03,8.83,8.92
Paper & Paper Products,11,HIGH_RELIABILITY,-2.91,-11.24,-6.43,-1.62,2.57,6.75,9.7,8.37,9.62
Passenger Cars & Utility Vehicles,2,RESEARCH_ONLY,-3.72,-11.84,-7.14,-2.43,2.23,6.89,9.26,9.32,9.41
Pharmaceuticals,39,VERY_HIGH_RELIABILITY,-1.55,-6.31,-3.08,0.15,3.3,6.45,8.6,6.3,6.46
Pharmaceuticals & Biotechnology,38,VERY_HIGH_RELIABILITY,-1.56,-7.05,-3.82,-0.58,2.16,4.9,6.72,5.48,6.47
Pipes & Tubes,18,VERY_HIGH_RELIABILITY,-0.86,-8.67,-4.75,-0.82,3.13,7.09,9.44,7.91,7.85
Plastic Pipes & Fittings,3,RESEARCH_ONLY,-1.69,-9.78,-5.74,-1.7,2.39,6.49,10.26,8.19,8.08
Plastic Pipes & Moulded Products,2,RESEARCH_ONLY,-4.98,-13.32,-7.84,-2.37,2.66,7.7,12.93,10.07,10.95
Plywood & Boards,1,RESEARCH_ONLY,-2.76,-4.36,-2.14,0.09,2.3,4.5,5.95,4.41,4.45
"Plywood, MDF & Laminates",7,MODERATE_RELIABILITY,-2.28,-9.09,-5.43,-1.78,2.03,5.85,8.23,7.63,7.31
Power,6,MODERATE_RELIABILITY,-2.8,-9.88,-5.3,-0.71,4.03,8.78,21.54,9.49,9.17
Power Generation & Distribution,1,RESEARCH_ONLY,-3.81,-8.34,-5.6,-2.85,-1.01,0.83,2.19,3.68,5.49
Power Generation & Utilities,11,HIGH_RELIABILITY,-3.47,-9.69,-6.15,-2.6,2.0,6.61,8.98,9.21,7.09
Power Sector Financing NBFC,1,RESEARCH_ONLY,-3.79,-10.16,-6.13,-2.11,2.17,6.45,9.38,8.56,8.05
Project Management & Civil Construction,1,RESEARCH_ONLY,-3.67,-12.4,-7.23,-2.06,3.81,9.67,12.58,11.73,10.34
Pumps & Compressors,10,HIGH_RELIABILITY,-2.51,-14.65,-7.81,-0.97,4.47,9.9,13.68,10.87,13.68
Railway Financing,1,RESEARCH_ONLY,-3.71,-11.66,-7.2,-2.73,2.54,7.81,10.92,10.54,8.93
Railway Infrastructure,2,RESEARCH_ONLY,-3.67,-13.1,-7.93,-2.75,4.29,11.33,17.09,14.08,10.35
Railway Infrastructure & Consulting,1,RESEARCH_ONLY,-3.71,-13.55,-8.4,-3.25,1.51,6.27,10.23,9.52,10.3
Railway Telecom,1,RESEARCH_ONLY,-1.11,-11.43,-6.63,-1.82,4.42,10.67,17.46,12.49,9.61
Railway Ticketing & Catering,1,RESEARCH_ONLY,-3.76,-10.06,-6.41,-2.76,0.67,4.11,6.52,6.87,7.3
Railway Wagons & Equipment,3,RESEARCH_ONLY,-3.69,-13.2,-8.18,-3.15,4.18,11.52,15.67,14.67,10.05
Railways,3,RESEARCH_ONLY,-1.74,-10.55,-6.14,-1.73,3.88,9.49,14.28,11.22,8.82
Realty,3,RESEARCH_ONLY,-2.02,-12.78,-7.06,-1.34,3.57,8.47,12.89,9.81,11.44
Renewable Energy,8,MODERATE_RELIABILITY,-2.9,-11.96,-6.7,-1.44,5.35,12.15,16.74,13.59,10.52
Renewable Energy - Solar & Wind,10,HIGH_RELIABILITY,-2.77,-11.3,-6.34,-1.38,3.71,8.8,12.16,10.18,9.92
Renewable Energy Financing NBFC,1,RESEARCH_ONLY,-3.7,-12.23,-7.79,-3.36,3.36,10.09,16.0,13.45,8.87
Residential & Commercial Real Estate,37,VERY_HIGH_RELIABILITY,-2.59,-11.29,-6.38,-1.48,2.69,6.85,9.33,8.33,9.81
Roads & Highways EPC,1,RESEARCH_ONLY,-3.67,-12.8,-7.53,-2.26,3.25,8.75,11.68,11.01,10.54
Rubber Chemicals,1,RESEARCH_ONLY,-3.52,-10.84,-6.81,-2.77,1.31,5.39,7.84,8.16,8.07
Saw Pipes & Ductile Iron Pipes,1,RESEARCH_ONLY,2.65,-10.68,-4.42,1.84,7.38,12.93,16.6,11.09,12.52
Semiconductors & Electronic Components,1,RESEARCH_ONLY,-4.12,-10.3,-7.11,-4.12,-1.13,2.06,4.47,6.18,6.18
Services,16,VERY_HIGH_RELIABILITY,-2.31,-9.13,-5.02,-0.91,2.4,5.7,8.16,6.61,8.22
Ship Building & Defence,3,RESEARCH_ONLY,-3.69,-12.57,-7.38,-2.2,8.57,19.35,24.32,21.55,10.37
Software Products & Digital Services,62,VERY_HIGH_RELIABILITY,-2.02,-8.05,-4.01,0.03,3.46,6.89,12.35,6.86,8.08
Specialty Chemicals,40,VERY_HIGH_RELIABILITY,-2.17,-7.96,-4.28,-0.61,2.36,5.32,7.33,5.93,7.35
Steel Manufacturing & Mining,1,RESEARCH_ONLY,-0.06,-7.52,-3.12,1.28,4.75,8.22,10.32,6.94,8.8
