industry,macro_sector,constituent_count,breadth_status,reliability_tier,confidence_score,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,best_horizon,final_opportunity_class,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,20D_P10,20D_P25,20D_P50,20D_P75,20D_P90,20D_P95,20D_P_pos,20D_P_gt_5,20D_P_gt_8,20D_P_gt_10,20D_P_gt_15,upside_asymmetry_score,model_consensus_score,analog_quality_score,data_completeness,regime_compatibility
Agrochemicals & Pesticides,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,-0.5,NEUTRAL,50.0,27.8,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.07,-2.79,-3.64,-4.24,-2.22,-3.14,-4.44,-5.44,-11.01,-6.77,-2.52,2.87,8.26,12.81,20.9,9.1,4.9,3.5,1.4,62.9,86.4,79.2,100.0%,HIGH
Copper & Non-Ferrous Metals,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,39.2,NEUTRAL,50.0,44.7,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.31,-0.3,-0.12,0.08,-0.46,-0.65,-0.92,-1.12,-9.16,-4.52,0.13,6.26,12.4,21.21,48.9,25.2,12.6,8.2,2.8,68.7,86.4,79.2,100.0%,HIGH
Construction Materials,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,58.7,NEUTRAL,50.0,58.2,5D,INSUFFICIENT_INDUSTRY_BREADTH,0.93,1.45,2.36,3.11,0.78,1.1,1.56,1.91,-4.85,-1.36,2.14,6.21,10.27,12.65,70.5,55.7,28.8,18.4,4.9,64.3,86.4,79.2,100.0%,HIGH
Civil Buildings & Commercial EPC,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,-3.8,NEUTRAL,50.0,26.0,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.41,-3.27,-4.32,-5.07,-2.56,-3.62,-5.12,-6.27,-13.26,-8.08,-2.89,2.82,8.53,12.95,17.2,7.6,4.2,3.0,1.2,56.5,86.4,79.2,100.0%,HIGH
Batteries & Energy Storage,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,2.8,NEUTRAL,50.0,30.9,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.13,-2.88,-3.76,-4.39,-2.28,-3.23,-4.56,-5.59,-10.26,-6.51,-2.77,4.25,11.27,18.08,20.2,8.8,4.8,3.4,1.3,84.2,86.4,79.2,100.0%,HIGH
Oil Gas & Consumable Fuels,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,23.7,NEUTRAL,50.0,45.6,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.29,-0.27,-0.08,0.12,-0.44,-0.62,-0.88,-1.08,-7.49,-3.46,0.57,6.53,12.49,14.47,49.3,25.5,12.7,8.3,2.8,73.1,86.4,79.2,100.0%,HIGH
Microfinance NBFC,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,-1.0,NEUTRAL,50.0,26.8,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.06,-2.78,-3.62,-4.22,-2.21,-3.13,-4.42,-5.42,-15.82,-9.82,-3.83,2.59,9.01,17.25,21.0,9.2,4.9,3.5,1.4,55.8,86.4,79.2,100.0%,HIGH
Hospitals & Healthcare Services,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,0.1,NEUTRAL,50.0,25.8,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.22,-3.01,-3.95,-4.61,-2.37,-3.36,-4.75,-5.81,-10.12,-5.04,0.03,5.17,10.3,15.07,19.1,8.4,4.5,3.2,1.3,51.9,86.4,79.2,100.0%,HIGH
Housing & Urban Infrastructure Financing,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,-0.4,NEUTRAL,50.0,29.4,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.12,-2.86,-3.74,-4.36,-2.27,-3.21,-4.54,-5.56,-11.66,-7.28,-2.9,3.77,10.43,13.75,20.3,8.9,4.8,3.4,1.4,74.3,86.4,79.2,100.0%,HIGH
Heavy Electrical Equipment,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,47.2,NEUTRAL,50.0,45.4,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.28,-0.25,-0.06,0.15,-0.43,-0.6,-0.86,-1.05,-7.68,-2.64,2.39,9.17,15.95,51.3,49.4,25.7,12.8,8.4,2.8,71.3,86.4,79.2,100.0%,HIGH
Data Centers & Real Estate,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,37.9,NEUTRAL,50.0,40.1,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.36,-0.37,-0.22,-0.05,-0.51,-0.72,-1.02,-1.25,-9.88,-3.52,2.84,7.96,13.09,16.35,48.0,24.5,12.2,8.0,2.7,41.4,86.4,79.2,100.0%,HIGH
Copper Mining,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,60.7,NEUTRAL,50.0,61.0,5D,INSUFFICIENT_INDUSTRY_BREADTH,1.06,1.63,2.61,3.42,0.91,1.28,1.81,2.22,-8.36,-3.46,1.45,7.74,14.03,48.65,72.4,59.1,30.7,19.6,5.2,73.1,86.4,79.2,100.0%,HIGH
Gas Distribution,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,2.4,NEUTRAL,50.0,26.0,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.11,-2.85,-3.72,-4.34,-2.26,-3.2,-4.52,-5.54,-9.89,-5.96,-2.02,1.87,5.76,9.83,20.4,8.9,4.8,3.4,1.4,51.0,86.4,79.2,100.0%,HIGH
Diagnostic & Healthcare Laboratories,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,3.3,NEUTRAL,50.0,24.8,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.1,-2.83,-3.7,-4.31,-2.25,-3.18,-4.5,-5.51,-10.24,-5.41,-0.58,3.41,7.4,9.37,20.5,9.0,4.8,3.4,1.4,43.0,86.4,79.2,100.0%,HIGH
Affordable Housing Finance Company,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,1.2,NEUTRAL,50.0,27.1,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.14,-2.88,-3.77,-4.4,-2.29,-3.23,-4.57,-5.6,-10.95,-6.45,-1.95,3.3,8.55,11.62,20.1,8.8,4.8,3.4,1.3,59.0,86.4,79.2,100.0%,HIGH
Auto Glass,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,38.9,NEUTRAL,50.0,43.2,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.29,-0.27,-0.08,0.13,-0.44,-0.62,-0.88,-1.07,-7.58,-3.21,1.16,5.88,10.6,13.79,49.3,25.5,12.7,8.3,2.8,57.3,86.4,79.2,100.0%,HIGH
Auto Lighting,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,-1.2,NEUTRAL,50.0,27.3,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.2,-2.98,-3.91,-4.57,-2.35,-3.33,-4.71,-5.77,-8.03,-4.11,-0.2,4.73,9.66,13.49,19.3,8.5,4.6,3.3,1.3,61.5,86.4,79.2,100.0%,HIGH
Power Sector Financing NBFC,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,-1.5,NEUTRAL,50.0,26.3,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.15,-2.9,-3.79,-4.42,-2.3,-3.25,-4.59,-5.62,-10.16,-6.13,-2.11,2.17,6.45,9.38,20.0,8.8,4.7,3.3,1.3,53.9,86.4,79.2,100.0%,HIGH
Power Generation & Distribution,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,0.5,NEUTRAL,50.0,24.5,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.16,-2.91,-3.81,-4.45,-2.31,-3.26,-4.61,-5.65,-8.34,-5.6,-2.85,-1.01,0.83,2.19,19.9,8.7,4.7,3.3,1.3,42.4,86.4,79.2,100.0%,HIGH
Plywood & Boards,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,20.1,NEUTRAL,50.0,28.8,30D,INSUFFICIENT_INDUSTRY_BREADTH,-1.63,-2.17,-2.76,-3.16,-1.78,-2.52,-3.56,-4.36,-4.36,-2.14,0.09,2.3,4.5,5.95,26.6,11.7,6.1,4.2,1.6,51.6,86.4,79.2,100.0%,HIGH
Project Management & Civil Construction,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,-1.2,NEUTRAL,50.0,27.1,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.08,-2.81,-3.67,-4.27,-2.23,-3.16,-4.47,-5.47,-12.4,-7.23,-2.06,3.81,9.67,12.58,20.7,9.1,4.9,3.4,1.4,58.4,86.4,79.2,100.0%,HIGH
Railway Telecom,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,19.6,NEUTRAL,50.0,39.2,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.8,-1.0,-1.11,-1.14,-0.95,-1.35,-1.91,-2.34,-11.43,-6.63,-1.82,4.42,10.67,17.46,39.8,18.9,9.5,6.4,2.3,67.3,86.4,79.2,100.0%,HIGH
Railway Ticketing & Catering,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,0.5,NEUTRAL,50.0,25.7,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.13,-2.87,-3.76,-4.39,-2.28,-3.22,-4.56,-5.59,-10.06,-6.41,-2.76,0.67,4.11,6.52,20.2,8.8,4.8,3.4,1.3,49.3,86.4,79.2,100.0%,HIGH
Railway Financing,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,0.2,NEUTRAL,50.0,27.2,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.1,-2.84,-3.71,-4.32,-2.25,-3.19,-4.51,-5.52,-11.66,-7.2,-2.73,2.54,7.81,10.92,20.5,9.0,4.8,3.4,1.4,59.5,86.4,79.2,100.0%,HIGH
Railway Infrastructure & Consulting,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,1.7,NEUTRAL,50.0,25.5,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.1,-2.84,-3.71,-4.32,-2.25,-3.19,-4.51,-5.52,-13.55,-8.4,-3.25,1.51,6.27,10.23,20.5,9.0,4.8,3.4,1.4,47.6,86.4,79.2,100.0%,HIGH
Rubber Chemicals,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,2.4,NEUTRAL,50.0,26.4,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.01,-2.7,-3.52,-4.09,-2.16,-3.05,-4.32,-5.29,-10.84,-6.81,-2.77,1.31,5.39,7.84,21.6,9.4,5.1,3.6,1.4,52.0,86.4,79.2,100.0%,HIGH
Saw Pipes & Ductile Iron Pipes,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,58.7,NEUTRAL,50.0,58.1,5D,INSUFFICIENT_INDUSTRY_BREADTH,1.07,1.66,2.65,3.47,0.92,1.31,1.85,2.27,-10.68,-4.42,1.84,7.38,12.93,16.6,72.7,59.7,31.1,19.8,5.3,52.2,86.4,79.2,100.0%,HIGH
