Industry,5D_Expected_Excess (%),10D_Expected_Excess (%),20D_Expected_Excess (%),30D_Expected_Excess (%),60D_Expected_Excess (%),90D_Expected_Excess (%)
Railway Telecom,-0.95,-1.35,-1.91,-2.34,-3.3,-4.05
Railway Ticketing & Catering,-2.28,-3.22,-4.56,-5.59,-7.9,-9.67
Railway Wagons & Equipment,-2.24,-3.17,-4.49,-5.5,-7.77,-9.52
Railways,-1.27,-1.79,-2.54,-3.11,-4.39,-5.38
Realty,-0.83,-1.17,-1.66,-2.03,-2.88,-3.52
Renewable Energy,-1.85,-2.61,-3.7,-4.53,-6.4,-7.84
Renewable Energy - Solar & Wind,-1.96,-2.77,-3.91,-4.79,-6.78,-8.3
Renewable Energy Financing NBFC,-2.25,-3.18,-4.5,-5.51,-7.79,-9.54
Residential & Commercial Real Estate,-1.6,-2.26,-3.19,-3.91,-5.53,-6.78
Roads & Highways EPC,-2.23,-3.16,-4.47,-5.47,-7.73,-9.47
Rubber Chemicals,-2.16,-3.05,-4.32,-5.29,-7.48,-9.16
Saw Pipes & Ductile Iron Pipes,0.92,1.31,1.85,2.27,3.2,3.92
Semiconductors & Electronic Components,-2.46,-3.48,-4.92,-6.03,-8.52,-10.44
Services,-1.34,-1.89,-2.68,-3.28,-4.64,-5.68
Ship Building & Defence,-1.09,-1.54,-2.18,-2.67,-3.78,-4.63
Software Products & Digital Services,-1.41,-1.99,-2.82,-3.45,-4.88,-5.97
Specialty Chemicals,-1.31,-1.86,-2.63,-3.22,-4.55,-5.57
Steel Manufacturing & Mining,-0.43,-0.61,-0.86,-1.05,-1.49,-1.82
Stockbroking & Financial Products,-1.21,-1.71,-2.42,-2.97,-4.2,-5.14
Structural Steel Tubes & Pipes,-0.44,-0.62,-0.88,-1.08,-1.53,-1.87
Sugar & Bio-Ethanol,-0.95,-1.35,-1.9,-2.33,-3.3,-4.04
Superalloys & Special Metals,-0.46,-0.65,-0.92,-1.13,-1.59,-1.95
Tea & Coffee,-0.83,-1.18,-1.66,-2.04,-2.88,-3.53
Telecom Services & Infrastructure,-1.87,-2.64,-3.74,-4.58,-6.48,-7.93
Telecommunication,-1.67,-2.36,-3.33,-4.08,-5.77,-7.07
Textiles,-0.38,-0.54,-0.77,-0.94,-1.33,-1.62
Textiles & Apparel,-1.47,-2.08,-2.95,-3.61,-5.11,-6.25
"Textiles, Yarns & Apparel",-1.01,-1.42,-2.01,-2.47,-3.49,-4.27
Tractors & Farm Equipment,-1.33,-1.88,-2.66,-3.26,-4.61,-5.64
Transformers & T&D Equipment,-1.2,-1.69,-2.4,-2.93,-4.15,-5.08
Travel Tech SaaS Solutions,0.84,1.19,1.68,2.06,2.92,3.57
Tyres & Rubber Products,-1.71,-2.42,-3.42,-4.19,-5.93,-7.26
Utilities,-2.25,-3.18,-4.5,-5.51,-7.79,-9.54
Water & Wastewater Treatment,-2.08,-2.94,-4.16,-5.09,-7.2,-8.82
Wealth & Asset Management,-0.46,-0.65,-0.93,-1.13,-1.6,-1.96
Wires & Cables,-1.2,-1.7,-2.4,-2.94,-4.16,-5.1
Zinc & Silver Mining,0.86,1.21,1.72,2.1,2.98,3.64
