date,ensemble_dispersion,model_agreement_score
2024-10-29,3.052973750315409,54.2
2024-10-30,2.323135381069497,65.2
2024-10-31,1.4967395409347657,77.5
2024-11-01,1.0472069932970365,84.3
2024-11-04,1.6922003711729925,74.6
2024-11-05,0.6162915310518001,90.8
2024-11-06,0.5598510746991884,91.6
2024-11-07,1.0582587246230182,84.1
2024-11-08,0.7068326171942321,89.4
2024-11-11,0.7096805008847117,89.4
2024-11-12,4.48323343560175,32.8
2024-11-13,5.61312759017745,25.0
2024-11-14,5.585038468785673,25.0
2024-11-18,2.841323414517396,57.4
2024-11-19,2.830945735422208,57.5
2024-11-20,2.945749319334014,55.8
2024-11-21,3.688315090166558,44.7
2024-11-22,2.810594555727416,57.8
2024-11-25,2.7046633506111326,59.4
2024-11-26,1.7509341562616498,73.7
2024-11-27,1.0715428545320163,83.9
2024-11-28,1.2427804743634971,81.4
2024-11-29,1.263806037642674,81.0
2024-12-02,1.422138483269867,78.7
2024-12-03,1.2233048938318443,81.7
2024-12-04,1.2992701187279243,80.5
2024-12-05,1.788384459730667,73.2
2024-12-06,2.4554140262099904,63.2
2024-12-09,0.6571947322825985,90.1
2024-12-10,1.503033388659188,77.5
2024-12-11,0.8822676501624105,86.8
2024-12-12,0.6777626294933091,89.8
2024-12-13,0.6432908323950531,90.4
2024-12-16,0.46027913319536534,93.1
2024-12-17,0.5448916576123085,91.8
2024-12-18,0.5473493565966111,91.8
2024-12-19,0.5435782672159444,91.8
2024-12-20,1.4119242298573071,78.8
2024-12-23,1.5736197701355599,76.4
