sample_index,prediction_id,prediction_date,prediction_timestamp,latest_allowed_source_timestamp,industry,v34_predicted_return,actual_20D_return,lookahead_detected,pit_compliance
13701,PRED_V60_459021d15dfe,2025-03-20,2025-03-20T08:30:00,2025-03-20T08:30:00,Railway Wagons & Equipment,-0.5583,9.11,False,VERIFIED_CLEAN
1710,PRED_V60_8ca3653050af,2024-11-12,2024-11-12T08:30:00,2024-11-12T08:30:00,Railway Wagons & Equipment,-0.0925,15.89,False,VERIFIED_CLEAN
16171,PRED_V60_e712c9dbd55f,2025-04-21,2025-04-21T08:30:00,2025-04-21T08:30:00,Electronic Manufacturing Services (EMS),-0.4405,1.86,False,VERIFIED_CLEAN
20352,PRED_V60_2759212dd6a5,2025-06-04,2025-06-04T08:30:00,2025-06-04T08:30:00,Civil Construction & Infrastructure EPC,-2.0902,-1.46,False,VERIFIED_CLEAN
28539,PRED_V60_f8e8a5ceabcc,2026-07-07,2026-07-07T08:30:00,2026-07-07T08:30:00,Healthcare,-2.3144,2.09,False,VERIFIED_CLEAN
24172,PRED_V60_af50da7f04a3,2025-07-14,2025-07-14T08:30:00,2025-07-14T08:30:00,Banks,-1.5909,-6.55,False,VERIFIED_CLEAN
28457,PRED_V60_d0e3126b2f7a,2026-07-07,2026-07-07T08:30:00,2026-07-07T08:30:00,Consumer Durables,-2.7545,1.25,False,VERIFIED_CLEAN
16948,PRED_V60_608654410f8e,2025-04-29,2025-04-29T08:30:00,2025-04-29T08:30:00,Copper & Non-Ferrous Metals,2.8362,8.98,False,VERIFIED_CLEAN
9477,PRED_V60_0bfc25a09e85,2025-02-03,2025-02-03T08:30:00,2025-02-03T08:30:00,Roads & Highways EPC,0.2377,-21.12,False,VERIFIED_CLEAN
12402,PRED_V60_b48fcb485357,2025-03-05,2025-03-05T08:30:00,2025-03-05T08:30:00,Power Generation & Utilities,0.5763,6.59,False,VERIFIED_CLEAN
9701,PRED_V60_1de1bb068868,2025-02-04,2025-02-04T08:30:00,2025-02-04T08:30:00,Railways,0.779,-13.5,False,VERIFIED_CLEAN
14261,PRED_V60_299f21b5b17b,2025-03-26,2025-03-26T08:30:00,2025-03-26T08:30:00,Automobile and Auto Components,-0.1124,-2.2,False,VERIFIED_CLEAN
19406,PRED_V60_2ada51b71968,2025-05-26,2025-05-26T08:30:00,2025-05-26T08:30:00,Passenger Cars & Utility Vehicles,3.798,4.4,False,VERIFIED_CLEAN
3386,PRED_V60_c8ef3e0d7bbf,2024-12-02,2024-12-02T08:30:00,2024-12-02T08:30:00,Pumps & Compressors,-4.75,-9.68,False,VERIFIED_CLEAN
29122,PRED_V60_96e26ba14f6d,2026-07-14,2026-07-14T08:30:00,2026-07-14T08:30:00,Pumps & Compressors,-2.6696,-9.62,False,VERIFIED_CLEAN
9384,PRED_V60_bff9cc871fb8,2025-01-31,2025-01-31T08:30:00,2025-01-31T08:30:00,Construction Materials,-0.2491,-5.24,False,VERIFIED_CLEAN
22030,PRED_V60_e67073daf6df,2025-06-23,2025-06-23T08:30:00,2025-06-23T08:30:00,Bearings & Friction Solutions,-2.5248,4.56,False,VERIFIED_CLEAN
23021,PRED_V60_e4247bb4a849,2025-07-02,2025-07-02T08:30:00,2025-07-02T08:30:00,Railway Infrastructure & Consulting,1.4597,-12.32,False,VERIFIED_CLEAN
18929,PRED_V60_6a6776460076,2025-05-21,2025-05-21T08:30:00,2025-05-21T08:30:00,Plastic Pipes & Moulded Products,1.5254,13.19,False,VERIFIED_CLEAN
8316,PRED_V60_2f8383be140c,2025-01-21,2025-01-21T08:30:00,2025-01-21T08:30:00,Internet & Digital Platforms,-0.8019,-10.31,False,VERIFIED_CLEAN
11909,PRED_V60_6d7689699a4d,2025-02-28,2025-02-28T08:30:00,2025-02-28T08:30:00,Pharmaceuticals,-2.1765,-1.5,False,VERIFIED_CLEAN
2960,PRED_V60_9ccd65121811,2024-11-26,2024-11-26T08:30:00,2024-11-26T08:30:00,Paints & Coatings,-0.2266,9.86,False,VERIFIED_CLEAN
3455,PRED_V60_e85c4f196d8e,2024-12-02,2024-12-02T08:30:00,2024-12-02T08:30:00,Air Conditioners & AC Components,-3.43,2.45,False,VERIFIED_CLEAN
6712,PRED_V60_df5862064ba4,2025-01-03,2025-01-03T08:30:00,2025-01-03T08:30:00,Steel Manufacturing & Mining,7.64,-18.51,False,VERIFIED_CLEAN
10868,PRED_V60_1e3a249df544,2025-02-17,2025-02-17T08:30:00,2025-02-17T08:30:00,API & CDMO / CRAMS,-1.3693,1.84,False,VERIFIED_CLEAN
20569,PRED_V60_8e27a7b888ca,2025-06-06,2025-06-06T08:30:00,2025-06-06T08:30:00,Logistics & Transportation,-1.6224,-3.61,False,VERIFIED_CLEAN
16894,PRED_V60_412104f411f9,2025-04-29,2025-04-29T08:30:00,2025-04-29T08:30:00,Wires & Cables,-3.3341,6.4,False,VERIFIED_CLEAN
