prediction_id,session_date,prediction_timestamp,cutoff_timestamp,industry,v32_production_benchmark_return,v34_standalone_shadow_return,v34_direction,v34_uncertainty,v34_rank,ta_risk_level,ta_risk_category,ta_event_type,ta_invalidation_flag,ta_confidence,veto_applied,veto_reason,final_shadow_status,final_shadow_signal,manifest_hash,feature_snapshot_hash,ta_evidence_hash,matured_1D_outcome,matured_5D_outcome,matured_20D_outcome,matured_60D_outcome
pred_v56_76065174b5926ac0,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Tyres & Rubber Products,-5.25,-2.4244,0,7.5,22,NORMAL,NONE,NONE,0,40.9,0,NONE,KEEP,-2.4244,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,bc124eb901ef4342b65b946cd5aea811d43dca91c102eacd5d549b7a9737e167,af5a23bb06ce9b600a8bb9a7b9900d136450a1b9de065c7d3aecb5a383587598,,,,
pred_v56_79cdbabdd1ffd87f,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Data Centers & Real Estate,4.21,1.6347,1,7.5,23,NORMAL,NONE,NONE,0,64.9,0,NONE,KEEP,1.6347,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,cd883bd951c8759128b288a0f31cc1fc103dd4a5f949b16fdf2474ca8d7a084b,2c2fae9f77fd62f2b3f9a9a4235df3b413290d7d2ca48456fab0c0f3cf0d2ae4,,,,
pred_v56_8c975f951a80adfd,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Financial Services,-6.1,-2.54,0,7.5,24,NORMAL,NONE,NONE,0,39.9,0,NONE,KEEP,-2.54,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,a06cc2310a30f0f1abb9b5c21e9b6db4750dbd2a5007627ad4e019991668b0cd,40977828fe2dc7284812ed2e11f2352678a9e0a8484cc90ae0b0e4ab8cef08a5,,,,
pred_v56_52d411b791b267e7,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Automobile and Auto Components,-0.36,-1.8644,0,7.5,25,NORMAL,NONE,NONE,0,45.5,0,NONE,KEEP,-1.8644,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,abf9529d1ce8fb17ee91450f34d12aa2c80a2271c73433d18414a352f311569e,a7285c576fec82b404f486e988e3d201e217363b1d8b5933a6653401dee598f9,,,,
pred_v56_e5de7701f87bb1dc,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Pharmaceuticals & Biotechnology,-0.15,-2.8451,0,7.5,26,NORMAL,NONE,NONE,0,66.9,0,NONE,KEEP,-2.8451,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,c4b6ffa904949a51c4c95851b30682c07396ffceffc05b4b0d911b8c74b219d6,2360b54a723c440bd4af711843a20ebd22dda7ac10244be12cc9bec621276572,,,,
pred_v56_44c8abdfd63c494d,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Fertilizers & Agrochemicals,-8.51,-2.285,0,7.5,27,NORMAL,NONE,NONE,0,38.6,0,NONE,KEEP,-2.285,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,80ccf398707e8d8806785a9a0b5e20e2abe9f4ee3529c31891e5f95d4b6d98cf,200e17513f76109328dbaaacf1f6d430d01eb9ff3e1fbeafabe011d270038082,,,,
pred_v56_3667b3a68ca89858,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Diagnostic & Healthcare Laboratories,-3.72,-1.1033,0,7.5,28,WATCH,ELEVATED_VOLATILITY,NONE,0,29.1,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.5516,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,e394d0b934a2754ae5ea4af2461e27460ca143889bd2d8e5c83a6f2d25597d24,07730616a626665acba11f56ef122abed99debbad8a9dd7e37ea39194c8a25ce,,,,
pred_v56_e8b6c19f410b5436,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Asset Management Company (AMC),-4.42,-1.9327,0,7.5,29,NORMAL,NONE,NONE,0,40.8,0,NONE,KEEP,-1.9327,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,53272763e7213548afb23381b94a41cbf38e37f7eb93d205eb6aaf9da5a3f55a,63eee2499ab8fbc77c1269eb8a7fb1461366eff77a1325929df0e397e58491bb,,,,
pred_v56_fa896b4c49274337,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Structural Steel Tubes & Pipes,4.94,1.1397,1,7.5,30,NORMAL,NONE,NONE,0,65.3,0,NONE,KEEP,1.1397,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,c4f2019e0037d0fb2e444b48fe6091c04e4ab35e7da92d486eef1cd432b80ea0,99166e84b90f2f32fbae82781ef9ffd4f1fcde9ccccd4216d791c62501441260,,,,
pred_v56_f1ef5ff1831e38de,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Agrochemicals & Pesticides,-7.91,-0.8359,0,7.5,31,WATCH,ELEVATED_VOLATILITY,NONE,0,29.1,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.4179,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,7108c291865c1e0dd6fa5b7d38d9198c04709ae891eb1d4575676d218d29d334,5ee0b8574834f9d5548d0cc002495baea1a27440ed0cb89f9d196ff4a3d30d42,,,,
